__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[28, 7, 5, 14, 37, 26, 17, 15, 7, 6, 5, 5, 23, 10, 39, 28, 13, 27, 6, 19] 3.26047950701657e-05
[15, 10, 27, 7, 39, 17, 34, 24, 25, 16, 5, 17, 8, 4, 17, 30, 28, 24, 13, 26] 4.0008275596842175e-05
[25, 36, 17, 9, 34, 8, 7, 16, 22, 14, 23, 7, 35, 22, 4, 24, 39, 4, 23, 11] 3.708289599766125e-05
[25, 29, 25, 8, 34, 8, 19, 37, 30, 16, 14, 38, 26, 30, 10, 9, 20, 35, 31, 17] 4.98867953394477e-05
[16, 10, 18, 5, 37, 24, 28, 34, 11, 12, 5, 22, 7, 10, 7, 16, 18, 20, 17, 40] 3.9475760369248844e-05
[28, 23, 6, 15, 27, 12, 27, 32, 34, 8, 6, 29, 24, 22, 9, 7, 9, 40, 39, 23] 6.80694493199196e-05
[40, 37, 21, 19, 19, 30, 40, 34, 21, 6, 34, 32, 25, 10, 19, 19, 16, 39, 11, 12] 1.4274359775441251e-05
[20, 14, 12, 6, 10, 37, 25, 28, 38, 12, 39, 39, 15, 28, 4, 23, 16, 37, 10, 21] 2.7460879462115764e-05
[31, 10, 20, 31, 16, 20, 36, 7, 7, 5, 6, 15, 8, 34, 34, 9, 40, 5, 34, 35] 1.5902695411166634e-05
[30, 23, 10, 15, 16, 38, 39, 23, 22, 5, 31, 40, 30, 38, 38, 30, 37, 26, 17, 25] 5.12295896823575e-05
[24, 8, 37, 28, 33, 28, 20, 25, 12, 33, 28, 22, 21, 21, 32, 33, 19, 24, 20, 34] 6.23030431755123e-05
[20, 10, 22, 20, 27, 19, 34, 14, 17, 20, 16, 19, 34, 37, 26, 7, 35, 16, 25, 11] 4.592104246907058e-05
[25, 5, 20, 39, 13, 15, 32, 21, 37, 12, 29, 33, 30, 4, 32, 29, 17, 20, 32, 4] 4.479230029461248e-05
[21, 23, 13, 24, 26, 33, 31, 39, 5, 19, 37, 26, 38, 22, 28, 33, 40, 17, 29, 31] 4.390218786148153e-05
[38, 31, 20, 16, 12, 4, 6, 22, 40, 16, 7, 22, 5, 23, 11, 15, 10, 32, 14, 30] 4.990765148922155e-05
[8, 35, 6, 28, 26, 8, 7, 14, 12, 16, 27, 15, 12, 24, 12, 38, 10, 38, 6, 40] 2.0172083787768186e-05
[8, 24, 4, 24, 27, 21, 26, 17, 21, 13, 29, 13, 26, 29, 40, 22, 21, 7, 15, 39] 8.528159395665086e-05
[37, 4, 21, 11, 13, 16, 4, 11, 22, 11, 17, 33, 4, 24, 29, 11, 7, 28, 22, 21] 3.278143081550633e-05
[27, 4, 16, 5, 35, 9, 18, 32, 36, 25, 28, 6, 21, 25, 6, 13, 14, 38, 33, 12] 8.63352920512149e-05
[12, 40, 32, 10, 14, 27, 17, 17, 20, 6, 40, 6, 30, 35, 21, 4, 15, 15, 11, 8] 2.6075537060312923e-05
[20, 39, 8, 23, 32, 11, 12, 6, 33, 17, 10, 16, 4, 33, 20, 11, 17, 16, 30, 27] 1.8042435449957337e-05
[8, 25, 25, 11, 18, 32, 36, 32, 9, 19, 10, 12, 6, 19, 5, 34, 23, 38, 4, 31] 2.256039590067205e-05
[8, 18, 10, 32, 17, 34, 4, 38, 36, 23, 12, 30, 28, 20, 26, 30, 28, 37, 9, 37] 3.35937774565699e-05
[4, 28, 24, 35, 40, 24, 39, 11, 8, 10, 20, 32, 23, 38, 31, 19, 40, 28, 16, 6] 4.370918150294722e-05
[20, 8, 36, 38, 35, 28, 7, 32, 12, 26, 32, 40, 4, 9, 22, 37, 18, 13, 38, 24] 1.217448308688646e-05
[11, 10, 29, 16, 38, 5, 29, 13, 25, 38, 37, 26, 23, 9, 27, 30, 38, 16, 10, 13] 2.2739064886221278e-05
[40, 39, 32, 21, 23, 8, 40, 5, 33, 10, 24, 5, 39, 17, 39, 34, 40, 5, 9, 27] 6.0784156097505974e-05
